,town,address,video
312500029,С.МЕЖДА,"С.МЕЖДА, КМЕТСТВО, УЛ.""В.ЛЕВСКИ""№2",https://evideo.bg/pe202410/31.html#312500029
312500030,С.МИЛАДИНОВЦИ,"С.МИЛАДИНОВЦИ, ЧИТАЛИЩЕ ""ПАИСИЙ ХИЛЕНДАРСКИ 1928"", УЛ.""ХРИСТО БОТЕВ"" №1",https://evideo.bg/pe202410/31.html#312500030
312500031,С.МОГИЛА,"С.МОГИЛА, ЧИТАЛИЩЕ ""ПРОБУДА 1928"", УЛ.""ВЪЗРАЖДАНЕ"" №17",https://evideo.bg/pe202410/31.html#312500031
312500032,С.ОВЧИ КЛАДЕНЕЦ,"С.ОВЧИ КЛАДЕНЕЦ, ЧИТАЛИЩЕ ""МИСЪЛ 1931""- МАЛЪК САЛОН, УЛ.""ДЕВЕТИ СЕПТЕМВРИ"" №40",https://evideo.bg/pe202410/31.html#312500032
312500033,С.ОКОП,"С.ОКОП, ЧИТАЛИЩЕ ""ХРИСТО БОТЕВ"", УЛ. "" ТУНДЖА"" №27",https://evideo.bg/pe202410/31.html#312500033
312500034,С.ПОБЕДА,"С.ПОБЕДА, ЧИТАЛИЩЕ ""ВАСИЛ ЛЕВСКИ 1931"", УЛ.Г.РАКОВСКИ"" №24",https://evideo.bg/pe202410/31.html#312500034
312500035,С.РОБОВО,"С.РОБОВО, КЛУБ НА ПЕНСИОНЕРА, УЛ.""ДРУЖБА"" №17",https://evideo.bg/pe202410/31.html#312500035
312500036,С.РОЗА,"С.РОЗА, КЛУБ НА ПЕНСИОНЕРА, УЛ. ""ПЕТЪР МОМЧИЛОВ"" №55А",https://evideo.bg/pe202410/31.html#312500036
312500037,С.РОЗА,"С.РОЗА, МЛАДЕЖКИ КЛУБ, УЛ. ""ПЕТЪР МОМЧИЛОВ"" №55А",https://evideo.bg/pe202410/31.html#312500037
312500038,С.САВИНО,"С.САВИНО, ЧИТАЛИЩЕ ""Н.Й.ВАПЦАРОВ 1928""-МАЛКА ЗАЛА, УЛ.""ПРОСТОР"" №10",https://evideo.bg/pe202410/31.html#312500038
312500039,С.СИМЕОНОВО,"С.СИМЕОНОВО, ЧИТАЛИЩЕ ""ИСКРА 1931""- МАЛЪК САЛОН, УЛ.""ХАДЖИ ДИМИТЪР"" №1",https://evideo.bg/pe202410/31.html#312500039
312500040,С.СКАЛИЦА,"С.СКАЛИЦА, ЧИТАЛИЩЕ ""СВЕТЛИНА 1928""-МАЛЪК САЛОН, УЛ.""ХР.БОТЕВ"" №26",https://evideo.bg/pe202410/31.html#312500040
312500041,С.СЛАМИНО,"С.СЛАМИНО, КЛУБ НА ПЕНСИОНЕРА, УЛ. ""СЛАВЯНСКА"" №13",https://evideo.bg/pe202410/31.html#312500041
