"id","region_name","town","address","video"
"091500058","Кърджали","С.ДЕВЕСИЛОВО","С.ДЕВЕСИЛОВО, ЧИТАЛИЩЕ","https://evideo.bg/pe202410/09.html#091500058"
"091500059","Кърджали","С.МАЛЪК ДЕВЕСИЛ","С.МАЛЪК ДЕВЕСИЛ, ЧИТАЛИЩЕ","https://evideo.bg/pe202410/09.html#091500059"
"091500060","Кърджали","С.ГОЛЯМ ДЕВЕСИЛ","С.ГОЛЯМ ДЕВЕСИЛ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500060"
"091500061","Кърджали","С.ДЕВЕСИЛИЦА","С.ДЕВЕСИЛИЦА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500061"
"091500062","Кърджали","С.ЛИМЕЦ","С.ЛИМЕЦ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500062"
"091500063","Кърджали","С.ЕГРЕК","С.ЕГРЕК, ЧИТАЛИЩЕ","https://evideo.bg/pe202410/09.html#091500063"
"091500064","Кърджали","С.ЧЕРНИЧЕВО","С.ЧЕРНИЧЕВО, БИВШЕ УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500064"
"091500065","Кърджали","С.СИНИГЕР","С.СИНИГЕР, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500065"
"091500066","Кърджали","С.ЧЕРНИЧЕВО","С.ЧЕРНИЧЕВО, БИВШЕ УЧИЛИЩЕ","https://evideo.bg/pe202410/09.html#091500066"
"091500067","Кърджали","С.ТИНТЯВА","С.ТИНТЯВА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500067"
"091500068","Кърджали","С.ГОРНИ ЮРУЦИ","С.ГОРНИ ЮРУЦИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500068"
"091500069","Кърджали","С.ЗВЪНАРКА","С.ЗВЪНАРКА, НУ В МАХ.""КОЗИНО""","https://evideo.bg/pe202410/09.html#091500069"
"091500070","Кърджали","С.ОРЕХ","С.ОРЕХ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500070"
"091500071","Кърджали","С.ОВЧАРИ","С.ОВЧАРИ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500071"
"091500072","Кърджали","С.ПОЛКОВНИК ЖЕЛЯЗОВО","С.ПОЛКОВНИК ЖЕЛЯЗОВО, ДЕТСКА ГРАДИНА","https://evideo.bg/pe202410/09.html#091500072"
"091500073","Кърджали","С.КОВИЛ","С.КОВИЛ, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500073"
"091500074","Кърджали","С.ДЖАНКА","С.ДЖАНКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500074"
"091500075","Кърджали","С.ГРИВКА","С.ГРИВКА, КМЕТСТВО","https://evideo.bg/pe202410/09.html#091500075"
