id,town,address,video,,,
010300020,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, V-ТО СУ""ГЕОРГИ ИЗМИРЛИЕВ"", УЛ.""ХРИСТО ЧЕРНОПЕЕВ"" №16",https://evideo.bg/pe202410/01.html#10300020,,,010300020
010300021,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НХГ""СВ.СВ. КИРИЛ И МЕТОДИЙ"", УЛ.""ЦАНКО ЦЕРКОВСКИ"" №002",https://evideo.bg/pe202410/01.html#10300021,,,010300021
010300022,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НХГ""СВ.СВ. КИРИЛ И МЕТОДИЙ"", УЛ.""ЦАНКО ЦЕРКОВСКИ"" №002",https://evideo.bg/pe202410/01.html#10300022,,,010300022
010300023,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НХГ""СВ.СВ. КИРИЛ И МЕТОДИЙ"", УЛ.""ЦАНКО ЦЕРКОВСКИ"" №002",https://evideo.bg/pe202410/01.html#10300023,,,010300023
010300024,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НАРОДНО ЧИТАЛИЩЕ ""НИКОЛА Й. ВАПЦАРОВ-1866"", ПЛ. ""МАКЕДОНИЯ"" №1",https://evideo.bg/pe202410/01.html#10300024,,,010300024
010300025,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, НАРОДНО ЧИТАЛИЩЕ ""НИКОЛА Й. ВАПЦАРОВ-1866"", ПЛ. ""МАКЕДОНИЯ"" №1",https://evideo.bg/pe202410/01.html#10300025,,,010300025
010300026,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ПГСАГ ""ВАСИЛ ЛЕВСКИ"", УЛ. ТОДОР АЛЕКСАНДРОВ №56",https://evideo.bg/pe202410/01.html#10300026,,,010300026
010300027,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ПГСАГ ""ВАСИЛ ЛЕВСКИ"", УЛ. ТОДОР АЛЕКСАНДРОВ №56",https://evideo.bg/pe202410/01.html#10300027,,,010300027
010300028,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300028,,,010300028
010300029,ГР.БЛАГОЕВГРАД,"ГР.БЛАГОЕВГРАД, ІІІ-ТО ОСН.У-ЩЕ""ДИМИТЪР ТАЛЕВ"", БУЛ.""СВ. СВ. КИРИЛ И МЕТОДИЙ"" №13",https://evideo.bg/pe202410/01.html#10300029,,,010300029
